mdp_id,seed,state,action,requested_magnitude,l1_closing,l1_opening,projection_closing,projection_opening,true_margin,is_greedy_action,flip_closing,flip_opening,repair_closing,repair_opening,repair_difference
0,42,0,0,0.02,0.04000000000000001,0.04000000000000002,-0.017247494943228688,0.017247494943228688,0.1916750067628924,1,0,0,0.0,0.0,0.0
0,42,0,0,0.05,0.10000000000000003,0.10000000000000005,-0.043118737358071715,0.043118737358071715,0.1916750067628924,1,0,0,0.0,0.0,0.0
0,42,0,0,0.08,0.15999999999999998,0.15999999999999998,-0.06898997977291466,0.06898997977291466,0.1916750067628924,1,0,0,0.0,0.0,0.0
0,42,0,0,0.12,0.24,0.24,-0.10348496965937203,0.10348496965937203,0.1916750067628924,1,0,0,0.0,0.0,0.0
0,42,0,0,0.16,0.25491964467066497,0.25491964467066497,-0.1099181320596736,0.1099181320596736,0.1916750067628924,1,0,0,0.0,0.0,0.0
0,42,0,0,0.2,0.25491964467066497,0.25491964467066497,-0.1099181320596736,0.1099181320596736,0.1916750067628924,1,0,0,0.0,0.0,0.0
0,42,0,0,0.25,0.25491964467066497,0.25491964467066497,-0.1099181320596736,0.1099181320596736,0.1916750067628924,1,0,0,0.0,0.0,0.0
0,42,0,0,0.3,0.25491964467066497,0.25491964467066497,-0.1099181320596736,0.1099181320596736,0.1916750067628924,1,0,0,0.0,0.0,0.0
0,42,0,0,0.35,0.25491964467066497,0.25491964467066497,-0.1099181320596736,0.1099181320596736,0.1916750067628924,1,0,0,0.0,0.0,0.0
0,42,0,1,0.02,0.04000000000000001,0.040000000000000036,0.01450276398435371,-0.01450276398435371,0.1916750067628924,0,0,0,0.0,0.0,0.0
0,42,0,1,0.05,0.10000000000000003,0.10000000000000003,0.03625690996088427,-0.03625690996088427,0.1916750067628924,0,0,0,0.0,0.0,0.0
0,42,0,1,0.08,0.15999999999999998,0.15999999999999998,0.05801105593741476,-0.05801105593741476,0.1916750067628924,0,0,0,0.0,0.0,0.0
0,42,0,1,0.12,0.24,0.24,0.08701658390612219,-0.08701658390612219,0.1916750067628924,0,0,0,0.0,0.0,0.0
0,42,0,1,0.16,0.32000000000000006,0.32000000000000006,0.1160221118748296,-0.1160221118748296,0.1916750067628924,0,0,0,0.0,0.0,0.0
0,42,0,1,0.2,0.4000000000000001,0.4000000000000001,0.14502763984353703,-0.14502763984353703,0.1916750067628924,0,0,0,0.0,0.0,0.0
0,42,0,1,0.25,0.4560532494538278,0.4560532494538278,0.16535081602816118,-0.16535081602816118,0.1916750067628924,0,0,0,0.0,0.0,0.0
0,42,0,1,0.3,0.4560532494538278,0.4560532494538278,0.16535081602816118,-0.16535081602816118,0.1916750067628924,0,0,0,0.0,0.0,0.0
0,42,0,1,0.35,0.4560532494538278,0.4560532494538278,0.16535081602816118,-0.16535081602816118,0.1916750067628924,0,0,0,0.0,0.0,0.0
0,42,1,0,0.02,0.04000000000000001,0.04000000000000002,-0.020789472116237474,0.020789472116237474,0.2537368267391269,1,0,0,0.0,0.0,0.0
0,42,1,0,0.05,0.10000000000000003,0.10000000000000005,-0.05197368029059368,0.05197368029059368,0.2537368267391269,1,0,0,0.0,0.0,0.0
0,42,1,0,0.08,0.15999999999999998,0.15999999999999998,-0.08315788846494977,0.08315788846494977,0.2537368267391269,1,0,0,0.0,0.0,0.0
0,42,1,0,0.12,0.24,0.24,-0.12473683269742472,0.12473683269742472,0.2537368267391269,1,0,0,0.0,0.0,0.0
0,42,1,0,0.16,0.25491964467066497,0.25491964467066497,-0.13249112111904873,0.13249112111904873,0.2537368267391269,1,0,0,0.0,0.0,0.0
